#{"t_start": 1703847255.033587, "env_id": "ContinuousCartPole-v0"}
r,l,t
491.0,491,751.671165
410.0,410,754.172533
366.0,366,756.606376
471.0,471,759.654365
323.0,323,761.578149
392.0,392,763.902473
440.0,440,766.556266
500.0,500,769.549384
500.0,500,772.571126
500.0,500,775.625465
413.0,413,778.226533
491.0,491,781.293533
455.0,455,784.037631
405.0,405,786.469326
500.0,500,789.627707
500.0,500,792.597328
500.0,500,795.597037
395.0,395,797.9457
389.0,389,800.272478
500.0,500,803.30279
420.0,420,805.803504
500.0,500,808.789542
500.0,500,811.769153
364.0,364,813.959872
500.0,500,816.9516
500.0,500,819.941984
500.0,500,822.900982
323.0,323,824.838467
455.0,455,827.583555
500.0,500,830.568547
437.0,437,833.166404
500.0,500,836.135551
500.0,500,839.111441
500.0,500,842.114068
500.0,500,845.136353
500.0,500,848.105028
500.0,500,851.122645
500.0,500,854.097914
500.0,500,857.089423
500.0,500,860.057222
500.0,500,862.968945
500.0,500,865.979569
500.0,500,869.08382
500.0,500,872.119
500.0,500,875.346655
500.0,500,878.278935
500.0,500,881.314734
500.0,500,884.371958
500.0,500,887.353567
500.0,500,890.338448
500.0,500,893.345657
500.0,500,896.375751
500.0,500,899.350548
500.0,500,902.335169
500.0,500,905.355165
500.0,500,908.35588
500.0,500,911.377051
500.0,500,914.417649
500.0,500,917.417396
500.0,500,920.409831
500.0,500,923.612763
500.0,500,926.566032
500.0,500,929.560214
500.0,500,932.658512
451.0,451,935.384131
464.0,464,938.16911
500.0,500,941.18829
338.0,338,943.238376
363.0,363,945.423584
438.0,438,948.104081
500.0,500,951.182932
153.0,153,952.090852
500.0,500,955.175577
500.0,500,958.222122
500.0,500,961.225908
500.0,500,964.23747
500.0,500,967.258753
500.0,500,970.267826
323.0,323,972.229776
500.0,500,975.213545
419.0,419,977.70298
429.0,429,980.251358
327.0,327,982.205253
367.0,367,984.442964
500.0,500,987.528271
370.0,370,989.732099
366.0,366,991.909572
241.0,241,993.342408
368.0,368,995.567431
500.0,500,998.438905
180.0,180,999.514088
500.0,500,1002.520088
353.0,353,1004.621575
376.0,376,1006.856676
500.0,500,1009.850983
223.0,223,1011.197445
221.0,221,1012.522739
500.0,500,1015.604204
500.0,500,1018.629414
500.0,500,1021.631019
500.0,500,1024.598361
500.0,500,1027.598953
500.0,500,1030.619713
369.0,369,1032.830644
500.0,500,1035.832115
500.0,500,1038.804298
500.0,500,1041.804808
500.0,500,1044.830496
500.0,500,1048.054152
500.0,500,1051.021106
500.0,500,1054.019478
223.0,223,1055.344383
500.0,500,1058.372367
500.0,500,1061.421695
500.0,500,1064.388305
500.0,500,1067.367487
500.0,500,1070.37005
500.0,500,1073.399556
500.0,500,1076.401318
500.0,500,1079.597524
500.0,500,1082.57534
500.0,500,1085.59151
500.0,500,1088.639418
500.0,500,1091.724063
500.0,500,1094.720352
500.0,500,1097.737274
500.0,500,1100.768194
500.0,500,1103.731986
500.0,500,1106.727112
500.0,500,1109.725343
500.0,500,1112.715684
500.0,500,1115.664854
500.0,500,1118.608647
500.0,500,1121.629187
500.0,500,1124.617045
500.0,500,1127.558973
500.0,500,1130.575011
500.0,500,1133.509312
500.0,500,1136.513076
500.0,500,1139.432994
500.0,500,1142.4574
500.0,500,1145.472029
500.0,500,1148.468273
500.0,500,1151.464128
500.0,500,1154.451173
500.0,500,1157.405094
500.0,500,1160.382128
500.0,500,1163.392229
500.0,500,1166.391393
500.0,500,1169.615469
500.0,500,1172.587221
500.0,500,1175.617189
500.0,500,1178.6365
500.0,500,1181.667643
500.0,500,1184.636208
500.0,500,1187.63825
500.0,500,1190.568249
500.0,500,1193.57361
500.0,500,1196.575041
500.0,500,1199.570097
500.0,500,1202.739837
500.0,500,1205.748891
500.0,500,1208.759061
500.0,500,1211.841596
500.0,500,1214.907631
500.0,500,1217.928846
500.0,500,1220.944224
468.0,468,1223.788626
